date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:23	63162/63162	---M--	200	added ('OK')	image/png	etag:%227782ee105e4b751ed325724db1606bee%22	https://assets.website-files.com/6024cb0edb66de5e830d3665/627e5378d6373f70c7d0f928_yir_cover.png	D:/web/showcase/showcase/assets.website-files.com/6024cb0edb66de5e830d3665/627e5378d6373f70c7d0f928_yir_cover.png	(from https://showcase.refokus.com/)
13:25:24	98311/98311	---M--	200	added ('OK')	image/png	etag:%22d45127af39909a084f2a0fba44be2747%22	https://assets.website-files.com/6024cb0edb66de5e830d3665/627e5378fe5cba6bd38b59df_rainfall_cover.png	D:/web/showcase/showcase/assets.website-files.com/6024cb0edb66de5e830d3665/627e5378fe5cba6bd38b59df_rainfall_cover.png	(from https://showcase.refokus.com/)
13:25:24	44989/44989	---M--	200	added ('OK')	image/png	etag:%221e32e572cf98b5410101104883a3659f%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632da9676b69327ada4e9299_summon_cover.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632da9676b69327ada4e9299_summon_cover.png	(from https://showcase.refokus.com/)
13:25:25	129157/129157	---M--	200	added ('OK')	image/png	etag:%22bd8cffe4f3144988bd5b76e9d8e677b0%22	https://assets.website-files.com/6024cb0edb66de5e830d3665/627e53784683b1957e96cddd_yahoo_cover.png	D:/web/showcase/showcase/assets.website-files.com/6024cb0edb66de5e830d3665/627e53784683b1957e96cddd_yahoo_cover.png	(from https://showcase.refokus.com/)
13:25:25	72456/72456	---M--	200	added ('OK')	image/png	etag:%22371e83334de0fd964d7ba472dcc20830%22	https://assets.website-files.com/6024cb0edb66de5e830d3665/627e7d99ff7686d85319c42f_weglot_cover.png	D:/web/showcase/showcase/assets.website-files.com/6024cb0edb66de5e830d3665/627e7d99ff7686d85319c42f_weglot_cover.png	(from https://showcase.refokus.com/)
13:25:25	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=62fcbf467b1adcb80d4ce04d	D:/web/showcase/showcase/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c87a9d.js	(from https://showcase.refokus.com/)
13:25:26	788667/788667	---M-Z	200	added ('OK')	text/javascript	etag:%22e47e30eee4c8a50e917481239c7a92c7%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/js/showcase-websites.b5a61a308.js	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/js/showcase-websites.b5a61a308.js	(from https://showcase.refokus.com/)
13:25:26	13349/13349	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Jan%202023%2015:09:15%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	D:/web/showcase/showcase/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://showcase.refokus.com/)
13:25:27	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a76f%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	D:/web/showcase/showcase/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://showcase.refokus.com/)
13:25:27	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2007%20Jan%202023%2010:25:27%20GMT	https://showcase.refokus.com/oribili.js	D:/web/showcase/showcase/showcase.refokus.com/oribili.18.delayed	(from https://snap.licdn.com/li.lms-analytics/insight.min.js)
13:25:27	0/-1	---M--	502	error ('')			https://showcase.refokus.com/oribili.js	D:/web/showcase/showcase/showcase.refokus.com/oribili.js	(from https://snap.licdn.com/li.lms-analytics/insight.min.js)
13:25:27	0/-1	---M--	502	error ('')			https://showcase.refokus.com/oribili.js	D:/web/showcase/showcase/showcase.refokus.com/oribili.js	(from https://snap.licdn.com/li.lms-analytics/insight.min.js)
